Group	Sample	cd8_subcluster	.n
Post non-responsive	P13_post_2	s1	486
Post non-responsive	P13_post_2	s2	779
Post non-responsive	P13_post_2	s3	371
Post non-responsive	P13_post_2	s4	60
Post non-responsive	P1_post_3	s1	313
Post non-responsive	P1_post_3	s2	590
Post non-responsive	P1_post_3	s3	182
Post non-responsive	P1_post_3	s4	36
Post non-responsive	P36_post_1	s1	936
Post non-responsive	P36_post_1	s2	994
Post non-responsive	P36_post_1	s3	429
Post non-responsive	P36_post_1	s4	37
Post non-responsive	P37_post_1	s1	42
Post non-responsive	P37_post_1	s2	23
Post non-responsive	P37_post_1	s3	21
Post non-responsive	P37_post_1	s4	12
Post non-responsive	P38_post_1	s1	128
Post non-responsive	P38_post_1	s2	195
Post non-responsive	P38_post_1	s3	81
Post non-responsive	P38_post_1	s4	60
Post responsive	P10_post_1	s1	519
Post responsive	P10_post_1	s2	306
Post responsive	P10_post_1	s3	224
Post responsive	P10_post_1	s4	9
Post responsive	P13_post_1	s1	520
Post responsive	P13_post_1	s2	914
Post responsive	P13_post_1	s3	144
Post responsive	P13_post_1	s4	124
Post responsive	P19_post_1	s1	2389
Post responsive	P19_post_1	s2	178
Post responsive	P19_post_1	s3	10
Post responsive	P19_post_1	s4	5
Post responsive	P1_post_1	s1	204
Post responsive	P1_post_1	s2	945
Post responsive	P1_post_1	s3	211
Post responsive	P1_post_1	s4	45
Post responsive	P1_post_2	s1	392
Post responsive	P1_post_2	s2	622
Post responsive	P1_post_2	s3	335
Post responsive	P1_post_2	s4	54
Post responsive	P29_post_1	s1	261
Post responsive	P29_post_1	s2	215
Post responsive	P29_post_1	s3	45
Post responsive	P29_post_1	s4	35
Post responsive	P30_post_1	s1	1641
Post responsive	P30_post_1	s2	1303
Post responsive	P30_post_1	s3	380
Post responsive	P30_post_1	s4	11
Post responsive	P33_post_1	s1	668
Post responsive	P33_post_1	s2	687
Post responsive	P33_post_1	s3	569
Post responsive	P33_post_1	s4	22
Post responsive	P35_post_1	s1	874
Post responsive	P35_post_1	s2	479
Post responsive	P35_post_1	s3	572
Post responsive	P35_post_1	s4	38
Treatment naive	P10_pre	s1	754
Treatment naive	P10_pre	s2	470
Treatment naive	P10_pre	s3	494
Treatment naive	P10_pre	s4	169
Treatment naive	P11_pre	s1	400
Treatment naive	P11_pre	s2	256
Treatment naive	P11_pre	s3	129
Treatment naive	P11_pre	s4	50
Treatment naive	P12_pre	s1	732
Treatment naive	P12_pre	s2	348
Treatment naive	P12_pre	s3	173
Treatment naive	P12_pre	s4	37
Treatment naive	P13_pre	s1	123
Treatment naive	P13_pre	s2	211
Treatment naive	P13_pre	s3	100
Treatment naive	P13_pre	s4	15
Treatment naive	P14_pre	s1	254
Treatment naive	P14_pre	s2	308
Treatment naive	P14_pre	s3	249
Treatment naive	P14_pre	s4	19
Treatment naive	P15_pre	s1	205
Treatment naive	P15_pre	s2	264
Treatment naive	P15_pre	s3	100
