gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
HSPE1	6.55781399313826e-223	0.718230749857315	0.976	0.834	1.29779138924206e-218
HSPA1A	5.82160245288082e-213	0.853765986329645	0.954	0.74	1.15209512542511e-208
HSP90AB1	4.89976319742391e-210	0.626547644598951	0.993	0.958	9.69663136770192e-206
HSPD1	4.19798424362384e-200	0.774755162560996	0.944	0.788	8.30781081813158e-196
HSPB1	8.3316861037227e-182	0.889313918641833	0.813	0.576	1.64884067992672e-177
CACYBP	2.5084299516064e-178	0.691024984474375	0.911	0.724	4.96418287422907e-174
HSPH1	5.09487071962551e-172	0.735257417686243	0.94	0.766	1.00827491541389e-167
HSP90AA1	2.38170284049059e-155	0.572865946229939	0.998	0.978	4.71338992133088e-151
HSPA6	4.97785400266487e-144	2.07401783826693	0.31	0.105	9.85117307127377e-140
HSPA1B	1.03130756712132e-142	0.662986453611448	0.916	0.729	2.0409576753331e-138
MT-ATP6	1.09205188446141e-140	-0.426634145145086	0.989	0.996	2.16117067934912e-136
ZFP36L2	2.92836885239341e-134	-0.759517124264845	0.91	0.936	5.79524195888656e-130
BAG3	1.59401673830018e-132	1.15791071635456	0.56	0.324	3.15455912509606e-128
FKBP4	2.38356650878486e-116	0.953963408249094	0.6	0.384	4.71707812088524e-112
DYNLL1	1.14023136931369e-113	0.578815518517412	0.907	0.77	2.2565178798718e-109
MRPL18	7.89527631507228e-110	0.672771776107846	0.764	0.545	1.5624751827528e-105
CHORDC1	4.95896731687052e-101	0.724211791903383	0.696	0.49	9.81379632008677e-97
TSC22D3	5.06532539762693e-101	-0.745332751423068	0.899	0.933	1.00242789619037e-96
SOD1	3.44585460548734e-94	0.446689766639112	0.939	0.835	6.81934626425944e-90
ZFAND2A	1.31696527190068e-91	0.777809929989169	0.597	0.396	2.60627427309144e-87
DNAJB1	4.85311601972015e-91	0.45627118397353	0.979	0.932	9.60431660302618e-87
FOS	3.36490541368024e-86	-0.915574825368088	0.556	0.701	6.6591478136732e-82
RPS3	3.28282307639762e-84	-0.29342534388985	0.999	0.997	6.49670686819089e-80
UBC	9.99651605649419e-83	0.343848789010912	0.997	0.993	1.9783105275802e-78
MT-CO1	1.61293308382117e-82	-0.223420437980834	0.999	0.999	3.1919945728821e-78
RPL19	2.33961827332357e-81	-0.268160598398919	0.998	0.998	4.63010456290734e-77
HSPA8	3.52660516951201e-81	0.273708977612692	0.999	0.989	6.97915163046428e-77
FKBP5	2.77261136722187e-80	-1.54577903607876	0.21	0.356	5.48699789573208e-76
JUNB	2.83608872810718e-77	-0.445538081141859	0.913	0.944	5.6126195929241e-73
