Group	Sample	seurat_clusters	.n	.frac
Post non-responsive	P13_post_2	c1	411	0.125611246943765
Post non-responsive	P13_post_2	c2	187	0.0571515892420538
Post non-responsive	P13_post_2	c3	174	0.0531784841075795
Post non-responsive	P13_post_2	c4	96	0.0293398533007335
Post non-responsive	P13_post_2	c5	93	0.0284229828850856
Post non-responsive	P13_post_2	c6	181	0.0553178484107579
Post non-responsive	P13_post_2	c7	158	0.0482885085574572
Post non-responsive	P13_post_2	c8	161	0.0492053789731051
Post non-responsive	P13_post_2	c9	263	0.0803789731051345
Post non-responsive	P13_post_2	c10	223	0.0681540342298289
Post non-responsive	P13_post_2	c11	13	0.00397310513447433
Post non-responsive	P13_post_2	c12	113	0.0345354523227384
Post non-responsive	P13_post_2	c13	58	0.0177261613691932
Post non-responsive	P13_post_2	c14	93	0.0284229828850856
Post non-responsive	P13_post_2	c15	85	0.0259779951100245
Post non-responsive	P13_post_2	c16	163	0.0498166259168704
Post non-responsive	P13_post_2	c17	80	0.0244498777506112
Post non-responsive	P13_post_2	c18	93	0.0284229828850856
Post non-responsive	P13_post_2	c19	24	0.00733496332518337
Post non-responsive	P13_post_2	c20	38	0.0116136919315403
Post non-responsive	P13_post_2	c21	81	0.0247555012224939
Post non-responsive	P13_post_2	c22	21	0.00641809290953545
Post non-responsive	P13_post_2	c23	40	0.0122249388753056
Post non-responsive	P13_post_2	c24	97	0.0296454767726161
Post non-responsive	P13_post_2	c25	83	0.0253667481662592
Post non-responsive	P13_post_2	c26	6	0.00183374083129584
Post non-responsive	P13_post_2	c27	24	0.00733496332518337
Post non-responsive	P13_post_2	c28	48	0.0146699266503667
Post non-responsive	P13_post_2	c29	63	0.0192542787286064
Post non-responsive	P13_post_2	c30	24	0.00733496332518337
Post non-responsive	P13_post_2	c31	47	0.0143643031784841
Post non-responsive	P13_post_2	c32	18	0.00550122249388753
Post non-responsive	P13_post_2	c33	13	0.00397310513447433
Post non-responsive	P1_post_3	c1	201	0.083402489626556
Post non-responsive	P1_post_3	c2	222	0.0921161825726141
Post non-responsive	P1_post_3	c3	180	0.0746887966804979
Post non-responsive	P1_post_3	c4	136	0.0564315352697095
Post non-responsive	P1_post_3	c5	125	0.0518672199170125
Post non-responsive	P1_post_3	c6	55	0.0228215767634855
Post non-responsive	P1_post_3	c7	99	0.0410788381742739
Post non-responsive	P1_post_3	c8	188	0.0780082987551867
Post non-responsive	P1_post_3	c9	104	0.0431535269709544
Post non-responsive	P1_post_3	c10	74	0.0307053941908714
Post non-responsive	P1_post_3	c11	30	0.012448132780083
Post non-responsive	P1_post_3	c12	79	0.0327800829875519
Post non-responsive	P1_post_3	c13	63	0.0261410788381743
Post non-responsive	P1_post_3	c14	96	0.0398340248962656
Post non-responsive	P1_post_3	c15	55	0.0228215767634855
Post non-responsive	P1_post_3	c16	77	0.0319502074688797
Post non-responsive	P1_post_3	c17	108	0.0448132780082988
