Cluster	CD3E	CD3D	CD3G	NKG7	Cluster_Size	km_cluster	is_TCell
c1	9.15713019457742	5.13880049507071	2.22923965092996	0.252309892591118	12002	1	TRUE
c2	11.4483172633257	6.36756785802647	3.24322695090315	18.6938665649316	10676	1	TRUE
c3	8.68727806444034	4.85392898971634	2.41688599985823	1.20613754723802	9210	1	TRUE
c4	10.6008795126422	6.98922300455038	3.40065139027763	12.9019240322502	8756	1	TRUE
c5	10.0115001636727	4.85750102474796	2.61456036140323	15.5438993927201	8421	1	TRUE
c6	10.2495275914477	6.19881776222039	2.32463938339786	0.520045995566372	8348	1	TRUE
c7	5.42697245262746	2.50068415631408	1.65555264753413	63.7049117801608	7981	2	FALSE
c8	17.0281391300029	10.7512046875353	4.81232720836131	17.94159765601	7344	1	TRUE
c9	12.0040273510697	8.95276356650344	4.12630087818612	27.7184212937891	7117	2	FALSE
c10	10.0254827684481	5.58045450972754	2.68715055665177	3.33731804329034	7065	1	TRUE
c11	10.5308094380214	6.65783652404201	2.69054939526583	0.870341487882576	7008	1	TRUE
c12	11.4919493477696	7.21292242286103	3.66529906640243	28.1926603661449	5398	2	FALSE
c13	10.7285093606327	6.76230585171017	2.46069582559477	0.628949996003753	5392	1	TRUE
c14	3.7580689880739	0.773301879677034	0.391919762708543	32.15681848256	5218	2	FALSE
c15	10.7853148390338	5.88431202625057	4.18202665101414	9.6556147027081	4687	1	TRUE
c16	10.1527945045635	6.79154467794436	3.30104302759132	10.5790367382391	4469	1	TRUE
c17	9.8799859009172	6.07568762648313	2.47171521866485	0.120129644483228	4275	1	TRUE
c18	13.0740195016037	7.21172734622877	3.70762428921409	19.0511851374681	3984	1	TRUE
c19	12.6335631413829	8.24978810117419	3.50795696859771	1.89370895259578	3818	1	TRUE
c20	11.6146551132437	7.41425105804638	3.29169104592102	2.36371924924434	3240	1	TRUE
c21	6.86727403797564	3.11506886425527	1.78293997443597	55.975760941912	2801	2	FALSE
c22	15.6521760825689	8.59121535873855	4.4293554762078	21.408565403538	2738	1	TRUE
c23	8.00635632535285	5.39909760811113	2.61907346196306	13.2429168142843	2447	1	TRUE
c24	8.46047755248164	6.78417121000183	2.83948353314075	18.3209410256782	2200	1	TRUE
c25	11.5707673877979	6.53020286260907	3.571194193165	0.339900622358543	1042	1	TRUE
c26	10.6697547548221	6.976602958418	2.73435971364922	0.708898516815053	804	1	TRUE
c27	12.9664296990247	9.00583354649114	3.16222765693586	2.47410618122092	70	1	TRUE
